User Name,Thumbnail URL,Comment Time,Likes,Comment Text
MB7,https://yt3.ggpht.com/8nLs6v6ASjzhH50RZ9bBlpS1JnhxVMYxYfDGQja5Cv0-iSSKJa__m4OaqBi692GWoRPbuAjcvtQ=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Mainy CS mai admission lia. Any suggestions sir ?
Qudrat Baraka,,1 year ago,0,Can I become a software engineer without graduation
Hamza Ali,,8 months ago,0,Sir I'm a great lover of software engineering which uni is best for this
Mind building,,10 months ago,0,Sir please tell me about your complete journey 
DEAD PUBG,,1 year ago,0,Asalamoalikum which university is best for bsse
Dr Tahir ul Qadri,,1 year ago,0,Sir after S.E can become govt teacher? Can CSS.PPSC?
Yasir Munir,,1 year ago,0,WHICH IS MOST DEMANDED ABROAD?
WardaG_Writer,,1 year ago,0,"Which one is best 
Physics Or Software Engineering bro"
Ehmad Zubair,,2 years ago,9,Watch the complete show here: https://www.youtube.com/watch?v=wEYnQe1mcQw&list=PLkCtczD1jtthvUOAhHxOpxbDaLOruiNqB
Abdullah Shah,,1 year ago,0,Bro diploma software engineer ki koi value hey ya nhii
Mubashir Hussain,,1 year ago,0,Is software engineering better then electrical engineering
Game Changer,,1 year ago,0,"السلامُ علیکم sir
Sir what to study after ICS"
Learning with Kabeer Akbar,https://yt3.ggpht.com/AUst8bsy__S08Tjt3ju18uWVw53czjVpyBxlWbqc3B8Pt7hzE_cBXKVgMxWtxX8uf6f4ChlgrA=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,"Please i want to know that either computer science is best or software engineers,"
Mohammad Shaheer Gul,https://yt3.ggpht.com/ytc/AGIKgqM31o-Dz7DCRRGtGQD7qhRp8gfYTLfElQ2hACZA=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,SE or IT which is good compare.
Umar Usman,https://yt3.ggpht.com/ytc/AGIKgqN3SJ7281jSlIZDN2TQMJk3Iaa2U6cVjWPb06EuaQ=s48-c-k-c0x00ffffff-no-rj,2 years ago,3,"First vedio dakhi aur subscribe kr diya... sir, l am student of software engineering. Now i am in 3rd semester but unfortunately, I know nothing about this field."
Mudassir Khan,https://yt3.ggpht.com/7OCGOQl0WWsmYW3JUMOTNYVbjhuFk4krom9MmqunInmQR-ZYS25_vkSq69sZSTxsWWi5dfYxog=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,"Asalam O Alikoum
My Age Is 20 And I,m Interstate  And Starting  Software  Engineer  
Can U Help Me"
